Scheme_Code	Scheme_Name	Asset_Value	NAV	Date
119551	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	107564.40	107.5644	17-Jun-2025
119552	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	118081.90	118.0819	17-Jun-2025
119553	Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	104735.20	104.7352	17-Jun-2025
108272	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	151113.90	151.1139	17-Jun-2025
110282	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113886.00	113.886	17-Jun-2025
108274	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	102702.90	102.7029	17-Jun-2025
110490	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113664.30	113.6643	17-Jun-2025
106157	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	103826.10	103.8261	17-Jun-2025
108273	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	367901.60	367.9016	17-Jun-2025
103176	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	552269.60	552.2696	17-Jun-2025
119550	Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	381790.80	381.7908	17-Jun-2025
128952	Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532827.20	1532.8272	14-Jun-2017
120437	Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1036079.60	1036.0796	17-Jun-2025
120438	Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2724786.10	2724.7861	17-Jun-2025
120439	Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1034801.60	1034.8016	17-Jun-2025
120436	Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1035906.80	1035.9068	17-Jun-2025
128953	Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289407.50	1289.4075	18-May-2015
117447	Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1035991.70	1035.9917	17-Jun-2025
117446	Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2642652.30	2642.6523	17-Jun-2025
117449	Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1034618.60	1034.6186	17-Jun-2025
117448	Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1035841.00	1035.8410	17-Jun-2025
152164	Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10988.30	10.9883	17-Jun-2025
152163	Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11558.10	11.5581	17-Jun-2025
152165	Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11457.10	11.4571	17-Jun-2025
152166	Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11457.10	11.4571	17-Jun-2025
152162	Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11558.10	11.5581	17-Jun-2025
152167	Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10919.60	10.9196	17-Jun-2025
121936	BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12342.10	12.3421	17-Jun-2025
127471	BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10462.00	10.4620	17-Jun-2025
121934	BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10463.40	10.4634	17-Jun-2025
121279	BANDHAN Banking & PSU Debt Fund - Direct Growth	25386.30	25.3863	17-Jun-2025
121281	BANDHAN Banking & PSU Debt Fund - Direct IDCW	13353.90	13.3539	17-Jun-2025
121935	BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10439.80	10.4398	17-Jun-2025
121938	BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	11171.00	11.1710	17-Jun-2025
121933	BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11364.00	11.3640	17-Jun-2025
127470	BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10862.40	10.8624	17-Jun-2025
121931	BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10617.70	10.6177	17-Jun-2025
121280	BANDHAN Banking & PSU Debt Fund - Regular Growth	24669.90	24.6699	17-Jun-2025
121282	BANDHAN Banking & PSU Debt Fund - Regular IDCW	13321.60	13.3216	17-Jun-2025
121932	BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10682.50	10.6825	17-Jun-2025
121937	BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	11064.50	11.0645	17-Jun-2025
148629	Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10557.00	10.5570	17-Jun-2025
148628	Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	12979.20	12.9792	17-Jun-2025
148630	Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10722.40	10.7224	17-Jun-2025
148625	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12699.00	12.6990	17-Jun-2025
148626	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10392.80	10.3928	17-Jun-2025
148627	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10500.60	10.5006	17-Jun-2025
150505	Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12181.70	12.1817	17-Jun-2025
150507	Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	11012.20	11.0122	17-Jun-2025
150503	Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12079.70	12.0797	17-Jun-2025
150504	Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10926.40	10.9264	17-Jun-2025
124175	DSP Banking & PSU Debt Fund - Direct Plan - Growth	24993.50	24.9935	17-Jun-2025
124178	DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10540.20	10.5402	17-Jun-2025
124182	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10142.90	10.1429	17-Jun-2025
124176	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10343.40	10.3434	17-Jun-2025
124177	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10546.40	10.5464	17-Jun-2025
124183	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10144.20	10.1442	17-Jun-2025
124172	DSP Banking & PSU Debt Fund - Regular Plan - Growth	24139.20	24.1392	17-Jun-2025
124174	DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10531.80	10.5318	17-Jun-2025
124173	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10142.00	10.142	17-Jun-2025
124180	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10331.40	10.3314	17-Jun-2025
124181	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10535.50	10.5355	17-Jun-2025
124179	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10143.30	10.1433	17-Jun-2025
140286	Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25654.10	25.6541	17-Jun-2025
140288	Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18946.70	18.9467	17-Jun-2025
140291	Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14530.50	14.5305	17-Jun-2025
140293	Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10908.30	10.9083	17-Jun-2025
140290	Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10542.30	10.5423	17-Jun-2025
140283	Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24760.50	24.7605	17-Jun-2025
140284	Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18105.40	18.1054	17-Jun-2025
140294	Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14064.20	14.0642	17-Jun-2025
140292	Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11150.80	11.1508	17-Jun-2025
140289	Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10136.10	10.1361	17-Jun-2025
129008	Franklin India Banking & PSU Debt Fund - Direct - Growth	23471.20	23.4712	17-Jun-2025
129006	Franklin India Banking & PSU Debt Fund - Growth	22470.00	22.4700	17-Jun-2025
129009	Franklin India Banking and PSU Debt Fund - Direct - IDCW	11614.00	11.6140	17-Jun-2025
129007	Franklin India Banking and PSU Debt Fund - IDCW	10984.20	10.9842	17-Jun-2025
128628	HDFC Banking and PSU Debt Fund - Growth Option	23082.70	23.0827	17-Jun-2025
128629	HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24030.70	24.0307	17-Jun-2025
128627	HDFC Banking and PSU Debt Fund - IDCW Option	10254.60	10.2546	17-Jun-2025
128626	HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	9999.50	9.9995	17-Jun-2025
151108	HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11151.20	11.1512	17-Jun-2025
151107	HSBC Banking and PSU Debt Fund - Direct Growth	25619.70	25.6197	17-Jun-2025
151106	HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11419.70	11.4197	17-Jun-2025
151109	HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10338.90	10.3389	17-Jun-2025
151102	HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11075.50	11.0755	17-Jun-2025
151104	HSBC Banking and PSU Debt Fund - Regular Growth	24325.80	24.3258	17-Jun-2025
151105	HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10692.50	10.6925	17-Jun-2025
151103	HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10311.20	10.3112	17-Jun-2025
112343	ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10054.90	10.0549	16-Sep-2022
112344	ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10242.70	10.2427	16-Sep-2022
130897	ICICI Prudential Banking and PSU Debt Fund - Bonus	15888.90	15.8889	24-Apr-2020
120257	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10253.80	10.2538	16-Sep-2022
120256	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34175.10	34.1751	17-Jun-2025
120258	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13095.90	13.0959	17-Jun-2025
120255	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10370.80	10.3708	16-Sep-2022
130950	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13866.50	13.8665	10-Apr-2018
131148	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13109.80	13.1098	16-Sep-2022
112342	ICICI Prudential Banking and PSU Debt Fund - Growth	32789.50	32.7895	17-Jun-2025
116174	ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11090.00	11.0900	17-Jun-2025
131147	ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12926.10	12.9261	16-Sep-2022
113247	ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10012.20	10.0122	24-Apr-2020
113242	ICICI Prudential Banking and PSU Debt Fund Retail Growth	21631.00	21.631	24-Apr-2020
113243	ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10330.50	10.3305	20-Aug-2015
118234	Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1047600.00	1047.6	17-Jun-2025
120444	Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2435944.40	2435.9444	17-Jun-2025
120443	Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1060789.80	1060.7898	17-Jun-2025
120445	Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1009034.60	1009.0346	17-Jun-2025
118232	Invesco India Banking and PSU Fund - Growth Option	2275606.70	2275.6067	17-Jun-2025
118233	Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1059739.10	1059.7391	17-Jun-2025
